package_name,node_count,edge_count,network_conn_count,file_read_count,execve_count,total_severity,suspicious_network_count,sensitive_file_count,max_severity,temporal_pattern_count,is_malicious
cic_benign_0005,3.84,3.51,0.01,14.99,2.98,0.49,0.0,0.0,0.44,0.0,0
cic_benign_0006,4.2,3.39,0.03,15.0,3.26,0.55,0.0,0.04,0.54,0.0,0
cic_benign_0007,4.04,2.8,0.29,11.38,1.04,0.33,0.0,0.0,0.32,0.0,0
cic_benign_0008,4.03,3.49,0.02,16.04,3.0,0.39,0.0,0.03,0.39,0.0,0
cic_benign_0009,4.04,3.48,0.0,16.18,2.77,0.61,0.0,0.0,0.4,0.01,0
cic_benign_0010,3.87,3.08,0.0,15.69,3.06,0.61,0.0,0.04,0.28,0.0,0
cic_benign_0011,4.26,3.74,0.0,14.79,3.27,0.83,0.02,0.06,0.52,0.01,0
cic_benign_0012,4.38,3.43,0.6,14.47,2.99,0.25,0.0,0.02,0.35,0.01,0
cic_benign_0013,5.14,4.04,0.26,16.03,0.95,1.55,0.0,0.0,0.9,0.0,0
cic_benign_0014,4.24,3.21,0.29,10.62,0.89,0.86,0.0,0.0,0.56,0.0,0
cic_benign_0015,4.11,3.26,0.0,14.79,2.92,0.6,0.0,0.01,0.39,0.0,0
cic_benign_0016,6.47,5.55,0.0,21.13,0.88,1.95,0.02,0.0,1.23,0.02,0
cic_benign_0017,4.54,3.15,0.41,10.81,1.22,1.11,0.0,0.0,0.71,0.0,0
cic_benign_0018,4.19,3.34,0.09,15.4,3.15,1.17,0.03,0.0,0.55,0.02,0
cic_benign_0019,4.47,3.58,0.03,15.93,3.04,0.46,0.03,0.0,0.44,0.01,0
cic_benign_0020,3.97,3.68,0.0,15.8,3.14,0.74,0.0,0.0,0.58,0.02,0
cic_benign_0021,4.33,3.6,0.28,11.46,1.13,1.22,0.01,0.02,0.93,0.0,0
cic_benign_0022,4.59,3.25,0.14,9.67,1.09,0.41,0.01,0.03,0.24,0.0,0
cic_benign_0023,4.43,3.44,0.0,17.13,3.21,0.4,0.03,0.01,0.38,0.02,0
cic_benign_0024,4.41,4.06,0.04,18.59,2.53,1.27,0.0,0.02,0.7,0.03,0
cic_benign_0025,4.0,3.22,0.01,16.81,2.99,0.11,0.02,0.0,0.25,0.0,0
cic_benign_0026,4.09,3.87,0.09,16.11,3.02,1.1,0.01,0.06,0.77,0.0,0
cic_benign_0027,4.14,3.81,0.0,14.77,3.06,0.58,0.0,0.0,0.56,0.01,0
cic_benign_0028,4.95,4.03,0.13,15.65,0.96,1.4,0.02,0.0,0.86,0.0,0
cic_benign_0029,4.09,3.54,0.0,15.37,3.1,0.39,0.0,0.0,0.38,0.0,0
cic_benign_0030,4.28,2.81,0.61,11.57,0.91,0.57,0.01,0.0,0.58,0.0,0
cic_benign_0031,4.82,3.49,0.04,11.48,0.95,2.22,0.0,0.01,1.36,0.0,0
cic_benign_0032,4.46,3.64,0.0,15.95,2.88,0.74,0.0,0.0,0.41,0.01,0
cic_benign_0033,4.19,3.22,0.95,14.78,2.94,0.05,0.0,0.02,0.29,0.0,0
cic_benign_0034,4.1,2.96,0.0,15.05,2.92,0.14,0.0,0.0,0.28,0.03,0
cic_benign_0035,4.02,3.4,0.0,13.78,3.07,0.62,0.0,0.04,0.37,0.0,0
cic_benign_0036,3.98,3.17,0.03,14.03,3.05,0.5,0.01,0.01,0.38,0.05,0
cic_benign_0037,4.05,3.27,0.05,15.65,3.09,0.65,0.0,0.0,0.4,0.0,0
cic_benign_0038,4.24,3.89,0.02,16.13,3.1,0.59,0.01,0.0,0.56,0.0,0
cic_benign_0039,4.11,3.25,0.0,14.72,3.04,0.5,0.01,0.03,0.28,0.0,0
cic_benign_0040,5.45,4.58,0.49,16.42,0.84,2.25,0.01,0.04,1.43,0.0,0
cic_benign_0041,3.82,2.99,0.06,12.33,3.0,0.5,0.0,0.0,0.27,0.04,0
cic_benign_0042,4.23,3.35,0.57,12.7,1.1,1.14,0.01,0.0,0.73,0.0,0
cic_benign_0043,5.21,4.4,0.16,15.19,0.89,1.08,0.02,0.05,0.68,0.02,0
cic_benign_0044,4.02,2.56,0.58,11.52,1.1,0.39,0.01,0.0,0.43,0.07,0
cic_benign_0045,4.02,3.3,0.01,15.6,3.13,0.94,0.0,0.0,0.46,0.03,0
cic_benign_0046,4.34,3.74,0.06,15.97,3.35,1.29,0.0,0.0,0.83,0.01,0
cic_benign_0047,3.84,3.52,0.0,15.38,3.1,0.96,0.0,0.0,0.47,0.0,0
cic_benign_0048,4.44,3.62,0.42,11.82,1.14,1.1,0.01,0.01,0.66,0.01,0
cic_benign_0049,4.06,3.56,0.04,14.65,2.97,0.44,0.02,0.01,0.42,0.07,0
cic_benign_0050,3.93,3.24,0.0,14.68,3.09,0.17,0.0,0.01,0.19,0.0,0
cic_benign_0051,4.42,3.37,0.62,13.6,0.96,1.12,0.01,0.01,0.69,0.01,0
cic_benign_0052,4.07,3.19,0.17,14.42,3.0,0.52,0.01,0.0,0.41,0.02,0
cic_benign_0053,3.91,3.69,0.01,15.14,3.03,0.85,0.0,0.05,0.62,0.03,0
cic_benign_0054,4.47,3.29,0.0,15.48,3.13,0.73,0.04,0.03,0.42,0.03,0
cic_benign_0055,3.88,3.18,0.0,14.35,2.92,0.49,0.02,0.01,0.32,0.0,0
cic_benign_0056,4.52,3.68,0.58,12.57,1.08,1.17,0.0,0.05,0.72,0.0,0
cic_benign_0057,3.92,2.89,0.75,11.43,0.93,0.93,0.0,0.0,0.52,0.0,0
cic_benign_0058,3.84,3.52,0.14,16.42,2.68,0.21,0.02,0.02,0.34,0.05,0
cic_benign_0059,4.16,3.05,0.02,14.91,3.02,1.0,0.01,0.01,0.36,0.0,0
cic_benign_0060,3.94,3.47,0.01,14.33,3.08,0.24,0.01,0.03,0.27,0.0,0
cic_benign_0061,4.78,4.32,0.01,14.82,0.87,2.86,0.0,0.04,1.91,0.04,0
cic_benign_0062,4.02,3.31,0.08,14.62,2.86,0.81,0.0,0.0,0.46,0.0,0
cic_benign_0063,4.27,3.82,0.0,15.56,3.14,0.2,0.0,0.04,0.43,0.0,0
cic_benign_0064,3.96,3.33,0.0,14.88,3.12,0.52,0.01,0.07,0.23,0.02,0
cic_benign_0065,5.14,3.65,0.19,15.29,1.19,0.99,0.0,0.0,0.67,0.01,0
cic_benign_0066,4.19,3.42,0.0,15.6,3.25,0.68,0.01,0.0,0.27,0.0,0
cic_benign_0067,4.1,3.58,0.0,15.59,2.88,0.52,0.01,0.0,0.17,0.06,0
cic_benign_0068,4.19,2.84,0.66,12.71,1.12,0.73,0.01,0.02,0.51,0.0,0
cic_benign_0069,4.09,3.81,0.02,14.61,3.15,0.48,0.01,0.04,0.4,0.03,0
cic_benign_0070,3.9,3.02,0.0,14.49,2.82,0.93,0.0,0.01,0.59,0.03,0
cic_benign_0071,3.9,3.4,0.0,15.7,3.05,0.83,0.02,0.0,0.62,0.0,0
cic_benign_0072,4.34,3.43,0.57,12.17,1.05,0.86,0.0,0.06,0.49,0.0,0
cic_benign_0073,4.14,3.41,0.11,15.51,3.13,0.18,0.02,0.0,0.24,0.0,0
cic_benign_0074,3.97,3.04,0.0,15.55,3.1,0.68,0.04,0.0,0.48,0.04,0
cic_benign_0075,4.12,3.35,0.0,15.33,3.15,0.16,0.02,0.0,0.23,0.0,0
cic_benign_0076,4.44,3.36,0.12,12.2,0.98,0.67,0.0,0.0,0.42,0.03,0
cic_benign_0077,4.06,3.57,0.21,12.15,0.92,2.24,0.0,0.04,1.44,0.01,0
cic_benign_0078,4.99,4.16,0.14,15.86,0.93,1.16,0.0,0.0,0.89,0.0,0
cic_benign_0079,4.26,3.82,0.03,17.61,2.88,0.85,0.01,0.01,0.52,0.03,0
cic_benign_0080,4.31,3.68,0.17,11.88,1.21,2.48,0.0,0.0,1.5,0.0,0
cic_benign_0081,4.48,3.39,0.0,15.54,2.96,0.44,0.03,0.0,0.34,0.02,0
cic_benign_0082,3.99,4.0,0.01,14.92,3.04,0.77,0.03,0.02,0.65,0.03,0
cic_benign_0083,4.31,3.14,0.64,11.82,1.04,0.95,0.0,0.0,0.69,0.0,0
cic_benign_0084,4.46,3.65,0.09,15.52,3.03,0.34,0.03,0.0,0.42,0.03,0
cic_benign_0085,4.02,3.47,0.04,15.01,2.86,0.49,0.0,0.02,0.33,0.03,0
cic_benign_0086,4.02,3.36,0.0,14.98,2.9,0.2,0.0,0.0,0.27,0.0,0
cic_benign_0087,3.86,3.09,0.0,13.88,3.17,0.52,0.0,0.01,0.25,0.0,0
cic_benign_0088,3.77,3.11,0.0,14.81,2.72,0.26,0.02,0.04,0.36,0.0,0
cic_benign_0089,4.24,3.36,0.03,15.53,2.95,0.54,0.02,0.0,0.26,0.0,0
cic_benign_0090,4.3,3.52,0.02,10.33,0.86,1.35,0.0,0.0,0.84,0.06,0
cic_benign_0091,4.16,3.58,0.01,14.75,3.16,0.27,0.02,0.0,0.35,0.0,0
cic_benign_0092,3.97,3.33,0.22,14.03,2.97,0.64,0.0,0.0,0.3,0.0,0
cic_benign_0093,4.2,3.81,0.0,14.91,2.87,0.46,0.0,0.02,0.39,0.0,0
cic_benign_0094,3.93,3.41,0.11,15.37,3.03,0.31,0.0,0.0,0.23,0.01,0
cic_benign_0095,4.42,3.68,0.01,12.0,1.12,1.85,0.01,0.03,1.37,0.06,0
cic_benign_0096,4.29,3.66,0.03,16.38,3.15,0.79,0.0,0.02,0.57,0.0,0
cic_benign_0097,3.89,3.42,0.02,16.26,2.95,0.84,0.0,0.0,0.49,0.03,0
cic_benign_0098,4.04,3.47,0.08,15.11,3.12,0.51,0.0,0.0,0.45,0.0,0
cic_benign_0099,4.25,4.03,0.0,14.76,2.99,0.75,0.0,0.02,0.61,0.0,0
cic_benign_0100,3.91,3.31,0.12,16.85,2.92,0.52,0.0,0.0,0.33,0.0,0
cic_benign_0101,4.21,3.24,0.02,15.24,2.99,0.58,0.01,0.04,0.23,0.03,0
cic_benign_0102,4.31,3.39,0.0,15.85,2.89,0.73,0.01,0.0,0.44,0.0,0
cic_benign_0103,3.87,3.4,0.0,15.23,2.95,0.66,0.01,0.03,0.5,0.0,0
cic_benign_0104,4.06,3.92,0.0,14.53,2.92,0.76,0.02,0.05,0.55,0.0,0
cic_benign_0105,3.77,3.17,0.0,14.48,2.97,0.55,0.0,0.02,0.46,0.0,0
cic_benign_0106,3.91,3.27,0.21,13.9,2.99,0.64,0.0,0.03,0.41,0.0,0
cic_benign_0107,4.0,2.56,0.51,10.19,1.07,0.6,0.0,0.05,0.25,0.03,0
cic_benign_0108,3.98,3.28,0.0,15.68,3.07,0.69,0.0,0.0,0.29,0.01,0
cic_benign_0109,4.0,3.51,0.04,16.11,2.94,0.57,0.0,0.0,0.31,0.0,0
cic_benign_0110,4.18,3.11,0.0,15.58,2.98,0.42,0.0,0.0,0.31,0.0,0
cic_benign_0111,4.69,4.11,0.0,14.77,2.98,1.06,0.01,0.03,0.76,0.06,0
cic_benign_0112,4.0,3.89,0.21,16.14,2.95,0.29,0.0,0.0,0.47,0.0,0
cic_benign_0113,3.9,3.24,0.0,15.29,2.95,0.65,0.01,0.0,0.48,0.02,0
cic_benign_0114,3.97,2.99,0.02,15.09,2.89,0.59,0.0,0.0,0.37,0.03,0
cic_benign_0115,3.99,3.0,0.02,15.43,3.0,0.2,0.0,0.0,0.29,0.03,0
cic_benign_0116,4.29,3.79,0.0,15.66,3.16,0.93,0.01,0.0,0.47,0.05,0
cic_benign_0117,4.11,3.53,0.0,16.01,3.11,0.61,0.02,0.0,0.3,0.0,0
cic_benign_0118,4.05,3.31,0.01,14.28,2.93,0.79,0.0,0.0,0.51,0.01,0
cic_benign_0119,5.86,4.54,0.06,16.06,1.08,2.65,0.01,0.0,1.8,0.0,0
cic_benign_0120,4.94,4.24,0.15,16.61,1.0,0.69,0.01,0.01,0.57,0.0,0
cic_benign_0121,3.89,3.78,0.0,16.37,3.09,0.73,0.0,0.0,0.26,0.01,0
cic_benign_0122,4.33,3.8,0.04,16.05,3.22,0.66,0.01,0.0,0.46,0.0,0
cic_benign_0123,3.98,3.36,0.06,14.81,2.88,0.62,0.0,0.0,0.41,0.01,0
cic_benign_0124,4.03,3.1,0.0,14.74,2.89,1.12,0.0,0.0,0.53,0.0,0
cic_benign_0125,3.95,3.31,0.0,14.13,3.12,0.3,0.0,0.05,0.26,0.07,0
cic_benign_0126,3.95,2.93,0.15,14.62,2.98,0.24,0.0,0.02,0.39,0.04,0
cic_benign_0127,4.17,3.45,0.03,13.93,2.92,0.38,0.0,0.0,0.55,0.01,0
cic_benign_0128,3.84,3.06,0.05,15.49,3.09,0.24,0.04,0.0,0.27,0.02,0
cic_benign_0129,4.11,3.4,0.07,13.96,2.87,0.52,0.0,0.03,0.46,0.07,0
cic_benign_0130,4.0,2.74,0.56,11.32,1.04,0.78,0.0,0.04,0.39,0.04,0
cic_benign_0131,3.94,3.5,0.04,14.91,2.92,0.38,0.0,0.0,0.31,0.0,0
cic_benign_0132,3.95,3.51,0.0,15.3,3.07,0.83,0.0,0.03,0.49,0.01,0
cic_benign_0133,3.99,3.39,0.01,15.34,2.63,0.75,0.01,0.0,0.49,0.0,0
cic_benign_0134,3.89,3.55,0.15,14.35,2.99,0.33,0.01,0.0,0.33,0.0,0
cic_benign_0135,4.31,3.87,0.0,12.65,1.0,2.5,0.02,0.04,1.61,0.0,0
cic_benign_0136,4.12,3.18,0.02,12.13,0.9,1.32,0.0,0.0,0.79,0.0,0
cic_benign_0137,4.11,3.74,0.01,15.83,3.04,0.43,0.0,0.0,0.4,0.0,0
cic_benign_0138,4.5,3.46,0.38,11.51,0.98,1.17,0.0,0.03,0.66,0.0,0
cic_benign_0139,3.91,3.19,0.1,15.22,3.18,0.79,0.0,0.0,0.5,0.0,0
cic_benign_0140,4.27,3.7,0.04,15.24,2.97,0.74,0.0,0.03,0.55,0.01,0
cic_benign_0141,4.01,3.67,0.02,14.69,3.0,0.88,0.0,0.0,0.52,0.0,0
cic_benign_0142,4.35,2.97,0.38,11.63,1.14,0.91,0.0,0.03,0.71,0.0,0
cic_benign_0143,3.88,3.56,0.0,14.44,2.87,0.49,0.0,0.0,0.41,0.03,0
cic_benign_0144,4.4,3.25,0.1,12.7,1.0,2.08,0.01,0.0,1.29,0.03,0
cic_benign_0145,4.69,3.46,0.03,11.19,1.12,2.13,0.0,0.02,1.43,0.0,0
cic_benign_0146,3.93,3.65,0.0,16.56,2.99,0.6,0.0,0.02,0.5,0.01,0
cic_benign_0147,4.16,2.98,0.01,14.96,2.96,0.83,0.01,0.0,0.41,0.0,0
cic_benign_0148,4.21,3.9,0.0,14.79,2.95,0.68,0.01,0.0,0.48,0.0,0
cic_benign_0149,3.14,2.26,0.32,7.96,3.01,0.28,0.0,0.0,0.16,0.05,0
cic_benign_0150,4.68,3.56,0.29,14.01,1.16,0.24,0.03,0.02,0.45,0.01,0
cic_benign_0151,4.11,3.7,0.02,15.05,3.14,0.57,0.0,0.06,0.2,0.02,0
cic_benign_0152,4.04,3.46,0.0,14.37,3.13,0.73,0.0,0.0,0.48,0.04,0
cic_benign_0153,4.16,2.93,0.7,10.63,0.95,0.3,0.03,0.0,0.29,0.01,0
cic_benign_0154,3.98,3.18,0.01,15.54,3.15,0.58,0.0,0.0,0.29,0.0,0
cic_benign_0155,4.06,3.52,0.01,16.43,3.13,0.87,0.05,0.0,0.5,0.0,0
cic_benign_0156,3.83,3.16,0.0,14.67,3.03,1.21,0.01,0.0,0.53,0.0,0
cic_benign_0157,4.95,4.14,0.49,15.03,1.11,0.64,0.0,0.01,0.58,0.0,0
cic_benign_0158,4.18,3.83,0.0,15.24,3.12,0.63,0.0,0.0,0.66,0.02,0
cic_benign_0159,3.92,3.6,0.03,15.14,2.95,0.82,0.03,0.01,0.52,0.0,0
cic_benign_0160,4.11,3.33,0.0,16.21,2.87,0.72,0.0,0.0,0.48,0.04,0
cic_benign_0161,4.03,2.99,0.43,10.68,1.16,0.62,0.01,0.04,0.36,0.02,0
cic_benign_0162,4.01,3.13,0.0,15.02,3.0,0.91,0.0,0.0,0.54,0.0,0
cic_benign_0163,3.82,2.88,0.37,10.82,1.13,0.46,0.02,0.0,0.33,0.03,0
cic_benign_0164,3.86,2.6,0.18,10.62,0.91,0.94,0.01,0.0,0.4,0.0,0
cic_benign_0165,4.3,3.85,0.0,15.78,3.08,0.99,0.0,0.01,0.48,0.0,0
cic_benign_0166,3.78,3.39,0.01,15.64,3.05,0.53,0.0,0.02,0.34,0.0,0
cic_benign_0167,4.84,3.98,0.52,14.7,0.87,1.14,0.0,0.02,0.58,0.0,0
cic_benign_0168,4.93,4.13,0.35,14.18,1.12,0.71,0.0,0.03,0.6,0.0,0
cic_benign_0169,3.72,3.33,0.0,15.32,3.04,0.89,0.03,0.01,0.43,0.0,0
cic_benign_0170,4.02,3.55,0.01,16.1,3.1,0.79,0.01,0.02,0.48,0.0,0
cic_benign_0171,5.34,4.08,0.02,15.73,0.98,0.87,0.0,0.0,0.85,0.0,0
cic_benign_0172,3.84,3.12,0.0,15.76,2.98,0.17,0.0,0.01,0.29,0.0,0
cic_benign_0173,3.97,3.2,0.03,14.97,3.02,0.98,0.0,0.0,0.52,0.0,0
cic_benign_0174,4.13,3.5,0.05,14.28,2.92,0.75,0.03,0.02,0.46,0.02,0
cic_benign_0175,3.94,3.25,0.0,15.47,2.95,0.62,0.02,0.02,0.44,0.01,0
cic_benign_0176,4.46,3.69,0.0,16.2,3.1,0.73,0.0,0.0,0.42,0.04,0
cic_benign_0177,4.35,3.62,0.04,16.03,2.89,1.65,0.02,0.03,0.83,0.01,0
cic_benign_0178,3.76,3.39,0.02,14.3,3.16,0.36,0.02,0.0,0.29,0.01,0
cic_benign_0179,4.28,3.16,0.19,16.16,3.03,0.32,0.04,0.03,0.38,0.0,0
cic_benign_0180,3.94,3.38,0.0,14.69,2.98,0.76,0.01,0.04,0.53,0.04,0
cic_benign_0181,3.92,3.5,0.11,14.95,2.99,0.35,0.0,0.0,0.31,0.0,0
cic_benign_0182,3.89,3.66,0.21,14.46,2.99,0.55,0.0,0.02,0.44,0.0,0
cic_benign_0183,3.83,3.2,0.02,14.08,3.01,0.73,0.01,0.0,0.35,0.06,0
cic_benign_0184,4.4,3.52,0.0,12.18,1.02,2.28,0.0,0.04,1.37,0.03,0
cic_benign_0185,3.98,3.58,0.0,16.0,3.03,1.2,0.0,0.0,0.43,0.0,0
cic_benign_0186,5.58,4.26,0.31,17.72,0.99,1.92,0.02,0.0,1.3,0.02,0
cic_benign_0187,4.07,3.28,0.0,14.84,3.0,0.84,0.04,0.0,0.48,0.03,0
cic_benign_0188,6.2,5.15,0.0,23.19,2.39,0.48,0.0,0.0,0.6,0.07,0
cic_benign_0189,4.31,3.47,0.05,15.57,2.94,0.57,0.01,0.0,0.23,0.06,0
cic_benign_0190,4.11,3.28,0.02,15.93,2.9,0.84,0.03,0.0,0.55,0.0,0
cic_benign_0191,4.9,3.81,0.3,16.17,0.93,0.67,0.0,0.0,0.52,0.05,0
cic_benign_0192,3.94,3.57,0.03,15.79,2.86,0.22,0.0,0.04,0.25,0.0,0
cic_benign_0193,4.05,3.51,0.0,14.92,2.99,0.74,0.0,0.0,0.45,0.0,0
cic_benign_0194,5.16,3.66,0.3,14.77,0.94,1.1,0.0,0.03,0.72,0.01,0
cic_benign_0195,3.97,3.66,0.0,15.3,2.88,0.83,0.02,0.0,0.57,0.0,0
cic_benign_0196,3.94,2.73,0.59,10.47,0.85,0.54,0.0,0.0,0.27,0.0,0
cic_benign_0197,4.11,3.6,0.05,16.85,2.88,0.42,0.0,0.0,0.25,0.0,0
cic_benign_0198,4.3,3.41,0.0,14.75,3.05,0.37,0.0,0.0,0.46,0.02,0
cic_benign_0199,3.99,3.52,0.06,14.88,2.92,0.41,0.0,0.0,0.31,0.0,0
cic_benign_0200,4.4,3.67,0.0,16.18,2.89,0.55,0.01,0.0,0.44,0.0,0
cic_benign_0201,3.8,3.51,0.14,15.53,2.97,0.3,0.01,0.0,0.27,0.0,0
cic_benign_0202,4.62,3.87,0.0,11.48,1.04,2.18,0.01,0.04,1.29,0.03,0
cic_benign_0203,4.22,3.43,0.05,16.27,3.01,0.97,0.0,0.01,0.57,0.02,0
cic_benign_0204,4.25,3.85,0.0,14.72,3.02,0.7,0.01,0.04,0.71,0.01,0
cic_benign_0205,3.83,3.02,0.0,15.86,3.11,0.62,0.01,0.04,0.35,0.0,0
cic_benign_0206,4.21,3.39,0.01,16.47,2.77,0.39,0.01,0.01,0.35,0.02,0
cic_benign_0207,4.46,3.69,0.0,15.91,3.12,0.76,0.0,0.04,0.31,0.0,0
cic_benign_0208,4.21,3.52,0.0,14.78,3.13,0.73,0.0,0.0,0.55,0.0,0
cic_benign_0209,3.97,3.27,0.0,14.37,2.96,0.45,0.0,0.0,0.2,0.0,0
cic_benign_0210,4.1,3.16,0.26,9.46,1.03,0.8,0.0,0.0,0.66,0.0,0
cic_benign_0211,4.15,3.54,0.0,15.83,2.99,0.92,0.0,0.02,0.64,0.0,0
cic_benign_0212,3.84,3.4,0.04,14.97,2.9,0.97,0.0,0.0,0.53,0.02,0
cic_benign_0213,4.06,3.21,0.54,10.34,0.92,0.42,0.0,0.0,0.34,0.0,0
cic_benign_0214,4.06,2.8,0.72,10.65,0.94,1.01,0.0,0.04,0.56,0.04,0
cic_benign_0215,4.11,2.91,0.0,16.91,2.99,0.42,0.02,0.0,0.32,0.0,0
cic_benign_0216,3.93,3.57,0.09,14.04,2.97,0.24,0.02,0.01,0.2,0.0,0
cic_benign_0217,3.9,3.75,0.06,16.49,3.15,0.93,0.01,0.0,0.5,0.0,0
cic_benign_0218,4.02,3.48,0.02,16.57,2.98,0.37,0.0,0.0,0.46,0.0,0
cic_benign_0219,4.18,3.43,0.03,15.92,2.83,1.0,0.0,0.0,0.71,0.0,0
cic_benign_0220,3.78,3.08,0.0,14.36,2.83,0.35,0.0,0.04,0.24,0.06,0
cic_benign_0221,4.33,3.7,0.11,13.29,0.95,2.33,0.01,0.02,1.59,0.0,0
cic_benign_0222,3.97,3.38,0.05,16.14,3.11,0.77,0.0,0.02,0.46,0.02,0
cic_benign_0223,3.87,3.49,0.19,14.92,2.98,0.5,0.02,0.01,0.42,0.04,0
cic_benign_0224,3.66,2.91,0.0,13.71,2.92,0.66,0.0,0.0,0.14,0.0,0
cic_benign_0225,3.93,3.16,0.03,15.66,3.11,0.66,0.0,0.01,0.49,0.0,0
cic_benign_0226,5.97,4.96,0.02,16.86,1.1,2.17,0.0,0.0,1.53,0.0,0
cic_benign_0227,4.12,3.47,0.0,15.67,2.93,0.59,0.0,0.0,0.41,0.01,0
cic_benign_0228,4.76,3.17,0.0,11.77,1.04,2.11,0.0,0.02,1.35,0.0,0
cic_benign_0229,4.03,3.38,0.0,15.6,2.83,0.6,0.0,0.02,0.47,0.0,0
cic_benign_0230,4.12,3.58,0.03,15.31,2.85,0.96,0.0,0.01,0.64,0.0,0
cic_benign_0231,4.08,3.38,0.09,15.22,3.01,0.41,0.0,0.0,0.47,0.03,0
cic_benign_0232,5.71,4.12,0.17,17.85,1.04,1.26,0.0,0.0,0.8,0.0,0
cic_benign_0233,4.53,3.62,0.01,15.04,2.91,1.31,0.0,0.04,0.62,0.01,0
cic_benign_0234,4.66,3.6,0.16,12.54,0.97,2.64,0.0,0.0,1.5,0.0,0
cic_benign_0235,4.66,4.22,0.34,15.18,0.97,0.59,0.0,0.03,0.46,0.03,0
cic_benign_0236,3.87,3.02,0.01,16.05,3.19,0.24,0.03,0.09,0.27,0.0,0
cic_benign_0237,4.16,3.54,0.06,14.53,2.68,0.76,0.02,0.02,0.4,0.02,0
cic_benign_0238,3.96,3.12,0.0,15.17,2.86,0.74,0.0,0.01,0.54,0.04,0
cic_benign_0239,3.75,3.18,0.06,15.06,2.88,0.86,0.0,0.07,0.43,0.0,0
cic_benign_0240,4.23,3.31,0.0,14.19,2.96,0.29,0.03,0.0,0.49,0.0,0
cic_benign_0241,5.35,4.23,0.07,15.86,1.04,1.3,0.0,0.0,0.93,0.01,0
cic_benign_0242,3.83,3.72,0.0,15.0,2.82,0.8,0.0,0.04,0.52,0.0,0
cic_benign_0243,4.37,3.38,0.0,15.04,2.96,0.36,0.0,0.0,0.44,0.03,0
cic_benign_0244,4.19,3.33,0.06,16.3,2.78,0.74,0.0,0.02,0.49,0.06,0
cic_benign_0245,4.3,3.19,0.62,12.62,1.07,1.09,0.0,0.0,0.63,0.0,0
cic_benign_0246,4.1,3.11,0.0,16.57,3.16,1.06,0.01,0.03,0.63,0.0,0
cic_benign_0247,6.4,5.63,0.0,20.98,0.99,1.91,0.0,0.0,1.31,0.01,0
cic_benign_0248,3.0,2.31,0.11,7.75,2.89,0.16,0.0,0.0,0.31,0.05,0
cic_benign_0249,4.27,3.42,0.0,14.84,3.17,0.32,0.04,0.02,0.16,0.0,0
cic_benign_0250,4.36,3.92,0.18,14.47,0.99,0.82,0.0,0.0,0.58,0.0,0
